Date,Close,High,Low,Open,Volume
2025-10-02,9.600000381469728,9.675000190734863,9.25,9.300000190734863,8920
2025-10-03,9.199999809265137,9.949999809265137,9.199999809265137,9.949999809265137,10600
2025-10-06,8.75,9.600000381469728,8.25,9.300000190734863,255700
2025-10-07,8.949999809265137,9.25,8.649999618530273,8.850000381469727,17660
2025-10-08,9.5,9.800000190734863,8.850000381469727,9.050000190734863,37940
2025-10-09,9.550000190734863,9.699999809265137,8.899999618530273,9.350000381469728,376300
2025-10-10,9.050000190734863,10.050000190734863,8.850000381469727,10.050000190734863,70840
2025-10-13,9.050000190734863,9.399999618530272,8.649999618530273,9.0,19600
2025-10-14,9.100000381469728,9.199999809265137,8.649999618530273,8.800000190734863,13460
2025-10-15,9.050000190734863,9.199999809265137,8.75,9.0,10060
2025-10-16,10.125,14.25,8.0,9.050000190734863,2180440
2025-10-17,6.150000095367432,7.75,6.050000190734863,7.75,328880
2025-10-20,6.400000095367432,6.650000095367432,6.0,6.199999809265137,110080
2025-10-21,6.050000190734863,6.5,5.949999809265137,6.5,70140
2025-10-22,5.974999904632568,6.494999885559082,5.550000190734863,6.099999904632568,103520
2025-10-23,6.539999961853027,6.550000190734863,5.800000190734863,5.849999904632568,50620
2025-10-24,6.099999904632568,6.550000190734863,6.050000190734863,6.550000190734863,29280
2025-10-27,5.960000038146973,6.199999809265137,5.949999809265137,6.150000095367432,18600
2025-10-28,5.900000095367432,6.065000057220459,5.75,6.0,17540
2025-10-29,5.760000228881836,5.860000133514404,5.699999809265137,5.849999904632568,11620
2025-10-30,5.400000095367432,5.699999809265137,5.400000095367432,5.699999809265137,16980
2025-10-31,3.799999952316284,4.574999809265137,3.515000104904175,4.574999809265137,5097080
2025-11-03,3.0450000762939453,6.050000190734863,3.0,6.0,847840
2025-11-04,3.1700000762939453,3.4200000762939453,2.8499999046325684,2.984999895095825,212320
2025-11-05,2.75,3.039999961853028,2.5799999237060547,3.0,445140
2025-11-06,2.7950000762939453,2.880000114440918,2.609999895095825,2.6600000858306885,89180
2025-11-07,2.3949999809265137,2.8350000381469727,2.299999952316284,2.8350000381469727,151320
2025-11-10,2.194999933242798,2.625,2.1549999713897705,2.625,2020040
2025-11-11,2.109999895095825,2.200000047683716,1.870000004768372,1.8899999856948853,192680
2025-11-12,2.1449999809265137,2.390000104904175,1.875,2.0450000762939453,252880
2025-11-13,1.8600000143051147,2.1449999809265137,1.8550000190734863,2.1449999809265137,150900
2025-11-14,1.8899999856948853,1.9900000095367432,1.850000023841858,1.8799999952316284,79220
2025-11-17,1.7599999904632568,1.9299999475479128,1.7400000095367432,1.899999976158142,79740
2025-11-18,1.6699999570846558,1.7899999618530271,1.649999976158142,1.7899999618530271,64740
2025-11-19,1.6449999809265137,1.7649999856948853,1.5399999618530271,1.7300000190734863,139320
2025-11-20,1.559999942779541,1.7200000286102295,1.559999942779541,1.6349999904632568,65560
2025-11-21,1.5099999904632568,1.5499999523162842,1.4500000476837158,1.5499999523162842,65640
2025-11-24,1.6399999856948853,1.6749999523162842,1.434999942779541,1.565000057220459,73960
2025-11-25,1.6549999713897705,1.715000033378601,1.600000023841858,1.649999976158142,64060
2025-11-26,1.6349999904632568,1.649999976158142,1.5299999713897705,1.649999976158142,93180
2025-11-28,1.774999976158142,1.995000004768372,1.6349999904632568,1.649999976158142,484300
2025-12-01,2.059999942779541,2.0999999046325684,1.6720000505447388,1.7899999618530271,333800
2025-12-02,1.5,1.600000023841858,1.2999999523162842,1.590000033378601,9015500
2025-12-03,1.3200000524520874,1.399999976158142,1.2100000381469729,1.309999942779541,410500
2025-12-04,1.4900000095367432,1.4900000095367432,1.2599999904632568,1.2799999713897705,311000
2025-12-05,1.4500000476837158,1.5609999895095823,1.3899999856948853,1.5099999904632568,239300
2025-12-08,1.4600000381469729,1.4900000095367432,1.3229999542236328,1.4700000286102295,215200
2025-12-09,1.7899999618530271,1.9700000286102293,1.3899999856948853,1.4500000476837158,5583400
2025-12-10,1.409999966621399,1.4700000286102295,1.3300000429153442,1.440000057220459,876000
2025-12-11,1.3200000524520874,1.3799999952316284,1.159999966621399,1.3300000429153442,421500
2025-12-12,1.0499999523162842,1.2099000215530396,0.9301000237464905,1.149999976158142,6844987
